num mile sprint shootg shootr jugbest jugtot passg passrate dribble team
101.00 11.43  6.33  4.00  2.00  7.00 16.00  4.00  3.50 1.568  4.00
102.00  8.88  5.67  4.00  1.50 16.00 33.00  7.00  1.50 1.448  2.00
103.00  9.25  6.50  3.00  2.50 10.00 23.00  4.00  3.00 1.338  3.00
104.00  8.90  5.85  5.00  2.50  7.00 13.00  7.00  2.00 1.345   NA
105.00  8.67  5.83  5.00  4.50 25.00 37.00  7.00  2.50 1.305  2.00
106.00 10.18  6.33  3.00  5.00  4.00  7.00  7.00  2.00 1.540  4.00
107.00 11.30  6.83  6.00  3.50  9.00 15.00  3.00  3.00 1.492  4.00
108.00 10.33  6.33  5.00  4.50  3.00  9.00  5.00  2.00 2.100  4.00
109.00  9.90  6.15  5.00  3.00  6.00 13.00  5.00  2.00 1.340  3.00
110.00  8.48  6.28  6.00  3.00  4.00 10.00  6.00  3.00 1.373  3.00
111.00  8.75  6.17  6.00  2.50 25.00 54.00  5.00  2.50 1.250   NA
112.00  9.20  6.12  6.00  2.50 15.00 38.00  8.00  2.50 1.378  3.00
113.00 10.73  6.17  2.00  3.00  8.00 14.00  4.00  2.00 1.373  3.00
114.00 10.92  5.52  1.00  5.00  8.00 16.00  3.00  3.00 1.550  4.00
115.00 10.57  6.27  8.00  3.00  9.00 17.00  6.00  2.00 1.355  3.00
116.00 10.58  5.67  6.00  1.50 25.00 64.00  6.00  2.00 1.215  1.00
117.00   NA    NA   5.00  4.00  4.00  9.00  2.00  4.50 2.267  4.00
118.00  8.03  5.33  8.00  1.50 25.00 65.00  5.00  2.00 1.250  2.00
119.00  8.02  6.02  5.00  3.00 25.00 50.00  6.00  2.50 1.317  3.00
120.00  8.48  5.17  6.00  2.75 25.00 48.00  7.00  2.00 1.317  2.00
121.00 11.82  6.33  6.00  4.00  8.00 15.00  8.00  2.50 2.000  4.00
122.00 10.75  6.17  4.00  4.00  2.00  6.00  2.00  3.50 1.513  4.00
123.00 10.05  6.32  3.00  1.50  4.00  9.00  4.00  2.00 1.322  4.00
124.00 11.53  6.17  5.00  4.00  3.00  8.00  3.00  4.00 1.305  3.00
125.00 11.40  5.83  5.00  4.00  3.00  7.00  4.00  3.50 1.538  4.00
126.00  9.35  6.50  5.00  3.50  5.00 12.00  5.00  3.00 1.388  3.00
127.00  9.78  6.05  4.00  3.50  5.00 12.00  5.00  3.00 1.455  3.00
128.00  9.38  6.00  5.00  4.50  4.00  9.00  3.00  4.00 1.518  3.00
129.00 10.75  6.00  4.00  4.50  7.00 11.00  7.00  3.50 1.325  3.00
130.00 11.98  6.33  5.00  3.75  5.00 11.00  4.00  4.00 1.507  4.00
131.00  8.12  6.08  2.00  4.50  7.00 15.00  2.00  4.50 1.395  3.00
132.00  9.62  6.17  6.00  1.75 11.00 25.00  9.00  1.00 1.287  2.00
133.00  8.45  6.17  5.00  2.50 25.00 75.00  6.00  3.00 1.300  2.00
134.00 13.03  6.17   NA    NA    NA    NA    NA    NA   NA    4.00
135.00 11.67  6.30  4.00  3.50  9.00 17.00  4.00  2.50 1.348  4.00
201.00 10.52  6.62  4.00  3.50 11.00 20.00  6.00  3.00 1.403  4.00
202.00  9.83  6.28  5.00  3.25 15.00 24.00  6.00  2.00 1.350  3.00
203.00 11.03  6.33  5.00  3.00  4.00 11.00  4.00  3.50  NA    4.00
204.00 10.13  6.22  6.00  2.50  5.00 12.00  6.00  1.50 1.445  2.00
205.00  9.43  6.15  8.00  1.00 15.00 33.00  6.00  1.50 1.317  NA 
206.00  7.63  5.80  6.00  2.50 11.00 20.00  5.00  2.50 1.278  2.00
207.00  9.35  5.67  4.00  4.75  3.00  7.00  4.00  4.00 2.108  4.00
208.00  8.53  5.65  5.00  2.00 11.00 18.00  8.00  1.25 1.332  1.00
209.00  9.70  6.08  5.00  3.00  6.00 14.00  5.00  2.00 1.473  3.00
210.00  8.68  6.22  2.00  3.00  4.00  9.00  4.00  2.50 1.422  3.00
211.00 10.98  6.00  2.00  4.00  4.00  9.00  4.00  2.50 1.450  NA 
212.00  9.33  5.50  4.00  1.50  4.00  9.00  5.00  2.00 1.420  1.00
213.00  9.08  6.62  3.00  4.50  6.00 11.00  7.00  3.00 2.130  4.00
214.00  8.73  5.50  3.00  3.25 14.00 25.00  4.00  3.00 1.317  2.00
215.00  9.03  6.00  4.00  3.00  8.00 18.00  7.00  2.50 1.283  3.00
216.00  9.40  5.67  4.00  3.75  9.00 16.00  2.00  3.50 1.565  4.00
217.00 12.00  5.83  5.00  1.50  9.00 24.00  4.00  2.00 1.428  2.00
218.00   NA    NA    NA    NA    NA    NA    NA    NA   NA    2.00
219.00  9.02  6.00  7.00  3.00 11.00 18.00  3.00  2.00 1.402  4.00
220.00 10.70  6.27  4.00  3.00  5.00 11.00  8.00  2.00 1.332  2.00
221.00 10.70  6.20  6.00  3.75  8.00 19.00  5.00  3.00 1.550  3.00
222.00  8.90  5.83  7.00  2.00 16.00 29.00  4.00  2.00 1.323  2.00
223.00  9.12  5.83  4.00  4.00  5.00 11.00  8.00  3.00 1.543  4.00
224.00 10.55  6.43  3.00  5.00  7.00 14.00  4.00  3.50 1.433  4.00
225.00   NA   6.60  6.00  2.75  8.00 17.00  4.00  4.00 1.322  4.00
226.00   NA   5.80  4.00  3.00  3.00  7.00  4.00  3.00 1.425  3.00
301.00  7.62  5.67  6.00  2.00 25.00 75.00  8.00  1.50 1.302  1.00
302.00  9.10  5.83  5.00  2.00 20.00 38.00  5.00  2.00 1.242  1.00
303.00  8.02  5.00  8.00  1.25 25.00 75.00  8.00  1.50 1.227  1.00
304.00  9.02  5.53  7.00  2.50 15.00 29.00  5.00  3.00 1.250  1.00
305.00  9.50  5.00  3.00  2.75 16.00 30.00  3.00  2.00 1.408  2.00
306.00  8.67  5.50  6.00  2.00 25.00 44.00  8.00  1.50 1.247  1.00
307.00  8.00  5.67  7.00  1.75 25.00 75.00  5.00  2.50 1.250  1.00
308.00  9.87  6.27  3.00  4.00  4.00 10.00  1.00  4.50 1.490  4.00
309.00 10.58  5.83  5.00  2.75 17.00 38.00  6.00  2.00 1.480  2.00
310.00  9.97  5.50  6.00  2.00 14.00 31.00  5.00  2.00 1.320  1.00
311.00 11.53  6.62  3.00  4.00 12.00 29.00  3.00  4.00 1.552  4.00
312.00  9.10  6.17  6.00  2.00  9.00 22.00  5.00  2.50 1.425  2.00
313.00  9.08  6.17  5.00  2.75 13.00 32.00  5.00  2.00 1.298  2.00
314.00  8.98  6.18  7.00  1.75 21.00 41.00  8.00  1.25 1.283  2.00
315.00  8.70  6.45  5.00  2.75 16.00 28.00  1.00  3.00 1.333  2.00
316.00  8.92  6.50  5.00  1.50 25.00 44.00  5.00  3.00 1.335  2.00
317.00   NA    NA   5.00  4.75  4.00  8.00  4.00  3.50 2.143  4.00
318.00   NA    NA    NA    NA    NA    NA    NA    NA  1.312  1.00
401.00  9.53  5.50  4.00  2.50  6.00 13.00  4.00  4.00 1.453  1.00
402.00 10.62  6.00  5.00  3.00 11.00 24.00  7.00  2.00 1.443  1.00
403.00  7.62  5.67  6.00  3.00  5.00  9.00  7.00  1.50 1.233  1.00
404.00   NA    NA    NA    NA    NA    NA    NA    NA    NA    NA 
405.00  9.45  6.13  7.00  3.00 13.00 31.00  4.00  1.00 1.347  4.00
406.00 10.00  5.33  6.00  1.50  9.00 20.00  4.00  1.50 1.352  1.00
407.00  9.80  5.37  8.00  2.00 17.00 47.00  2.00  3.00 1.317  1.00
408.00 10.50  5.83  5.00  1.50  7.00 18.00  6.00  1.00 1.322  1.00
409.00  9.00  6.03  5.00  2.50 14.00 24.00  7.00  1.50 1.435  4.00
410.00 10.90  6.35  3.00  1.50 25.00 49.00  5.00  2.00 1.455  1.00
